date,trade_return,direction,regime,exit_reason,entry_price,exit_price,quantity,bars_held,equity,drawdown
2023-01-03 00:41:00+00:00,-12.5,short,is,,3865.5,3865.75,1,1,99987.5,0.0
2023-01-03 01:19:00+00:00,700.0,short,is,,3865.0,3851.0,1,37,100687.5,0.0
2023-01-03 01:38:00+00:00,150.0,short,is,,3849.75,3846.75,1,18,100837.5,0.0
2023-01-03 01:40:00+00:00,37.5,short,is,,3846.75,3846.0,1,1,100875.0,0.0
2023-01-03 01:42:00+00:00,-37.5,short,is,,3846.25,3847.0,1,1,100837.5,-0.03717472118959108
2023-01-03 01:44:00+00:00,-62.5,short,is,,3848.0,3849.25,1,1,100775.0,-0.09913258983890955
2023-01-03 01:46:00+00:00,0.0,short,is,,3849.25,3849.25,1,1,100775.0,-0.09913258983890955
2023-01-03 01:48:00+00:00,0.0,short,is,,3848.5,3848.5,1,1,100775.0,-0.09913258983890955
2023-01-03 01:50:00+00:00,-25.0,short,is,,3849.25,3849.75,1,1,100750.0,-0.12391573729863693
2023-01-03 01:52:00+00:00,-25.0,short,is,,3847.75,3848.25,1,1,100725.0,-0.14869888475836432
2023-01-03 01:54:00+00:00,-37.5,short,is,,3848.0,3848.75,1,1,100687.5,-0.18587360594795538
2023-01-03 01:56:00+00:00,12.5,short,is,,3849.75,3849.5,1,1,100700.0,-0.1734820322180917
2023-01-03 01:58:00+00:00,-100.0,short,is,,3850.5,3852.5,1,1,100600.0,-0.27261462205700127
2023-01-03 02:00:00+00:00,12.5,short,is,,3853.75,3853.5,1,1,100612.5,-0.26022304832713755
2023-01-03 02:02:00+00:00,37.5,short,is,,3852.5,3851.75,1,1,100650.0,-0.22304832713754646
2023-01-03 02:04:00+00:00,-75.0,short,is,,3851.25,3852.75,1,1,100575.0,-0.29739776951672864
2023-01-03 02:16:00+00:00,-112.5,long,is,,3854.0,3851.75,1,11,100462.5,-0.40892193308550184
2023-01-03 02:19:00+00:00,-112.5,short,is,,3851.75,3854.0,1,2,100350.0,-0.5204460966542751
2023-01-03 02:56:00+00:00,312.5,long,is,,3854.25,3860.5,1,36,100662.5,-0.21065675340768275
2023-01-03 02:59:00+00:00,12.5,long,is,,3861.25,3861.5,1,2,100675.0,-0.1982651796778191
2023-01-03 03:02:00+00:00,-37.5,long,is,,3861.25,3860.5,1,2,100637.5,-0.23543990086741015
2023-01-03 03:04:00+00:00,0.0,long,is,,3860.75,3860.75,1,1,100637.5,-0.23543990086741015
2023-01-03 03:09:00+00:00,12.5,long,is,,3861.25,3861.5,1,4,100650.0,-0.22304832713754646
2023-01-03 03:15:00+00:00,0.0,long,is,,3861.25,3861.25,1,5,100650.0,-0.22304832713754646
2023-01-03 03:17:00+00:00,25.0,long,is,,3860.25,3860.75,1,1,100675.0,-0.1982651796778191
2023-01-03 03:19:00+00:00,0.0,long,is,,3861.0,3861.0,1,1,100675.0,-0.1982651796778191
2023-01-03 03:24:00+00:00,37.5,long,is,,3860.75,3861.5,1,4,100712.5,-0.161090458488228
2023-01-03 03:31:00+00:00,0.0,long,is,,3861.75,3861.75,1,6,100712.5,-0.161090458488228
2023-01-03 04:04:00+00:00,187.5,long,is,,3862.25,3866.0,1,32,100900.0,0.0
2023-01-03 04:07:00+00:00,0.0,long,is,,3865.5,3865.5,1,2,100900.0,0.0
2023-01-03 04:09:00+00:00,12.5,long,is,,3863.75,3864.0,1,1,100912.5,0.0
2023-01-03 04:11:00+00:00,12.5,long,is,,3863.75,3864.0,1,1,100925.0,0.0
2023-01-03 04:13:00+00:00,0.0,long,is,,3864.25,3864.25,1,1,100925.0,0.0
2023-01-03 04:15:00+00:00,12.5,long,is,,3864.5,3864.75,1,1,100937.5,0.0
2023-01-03 04:17:00+00:00,12.5,long,is,,3864.75,3865.0,1,1,100950.0,0.0
2023-01-03 04:19:00+00:00,0.0,long,is,,3864.5,3864.5,1,1,100950.0,0.0
2023-01-03 04:41:00+00:00,37.5,long,is,,3865.25,3866.0,1,21,100987.5,0.0
2023-01-03 04:43:00+00:00,0.0,long,is,,3865.75,3865.75,1,1,100987.5,0.0
2023-01-03 04:45:00+00:00,-12.5,long,is,,3866.0,3865.75,1,1,100975.0,-0.012377769525931427
2023-01-03 04:47:00+00:00,0.0,long,is,,3865.75,3865.75,1,1,100975.0,-0.012377769525931427
2023-01-03 04:49:00+00:00,-12.5,long,is,,3865.75,3865.5,1,1,100962.5,-0.024755539051862854
2023-01-03 04:51:00+00:00,-25.0,long,is,,3865.5,3865.0,1,1,100937.5,-0.04951107810372571
2023-01-03 04:53:00+00:00,0.0,long,is,,3865.5,3865.5,1,1,100937.5,-0.04951107810372571
2023-01-03 04:55:00+00:00,-25.0,long,is,,3865.25,3864.75,1,1,100912.5,-0.07426661715558856
2023-01-03 05:04:00+00:00,-37.5,short,is,,3864.5,3865.25,1,8,100875.0,-0.11139992573338284
2023-01-03 05:24:00+00:00,25.0,long,is,,3865.5,3866.0,1,19,100900.0,-0.08664438668151998
2023-01-03 05:26:00+00:00,-12.5,long,is,,3866.0,3865.75,1,1,100887.5,-0.09902215620745142
2023-01-03 05:34:00+00:00,-50.0,short,is,,3865.25,3866.25,1,7,100837.5,-0.14853323431117713
2023-01-03 05:36:00+00:00,0.0,long,is,,3866.0,3866.0,1,1,100837.5,-0.14853323431117713
2023-01-03 05:38:00+00:00,0.0,long,is,,3865.5,3865.5,1,1,100837.5,-0.14853323431117713
2023-01-03 05:55:00+00:00,-87.5,long,is,,3872.25,3870.5,1,16,100750.0,-0.2351776209926971
2023-01-03 05:57:00+00:00,-25.0,long,is,,3871.5,3871.0,1,1,100725.0,-0.25993316004455996
2023-01-03 05:59:00+00:00,-12.5,long,is,,3871.5,3871.25,1,1,100712.5,-0.2723109295704914
2023-01-03 06:01:00+00:00,-25.0,long,is,,3871.5,3871.0,1,1,100687.5,-0.29706646862235425
2023-01-03 06:03:00+00:00,-37.5,long,is,,3870.75,3870.0,1,1,100650.0,-0.33419977720014854
2023-01-03 06:05:00+00:00,25.0,long,is,,3869.75,3870.25,1,1,100675.0,-0.3094442381482857
2023-01-03 06:07:00+00:00,-12.5,long,is,,3869.5,3869.25,1,1,100662.5,-0.3218220076742171
2023-01-03 06:09:00+00:00,25.0,long,is,,3870.0,3870.5,1,1,100687.5,-0.29706646862235425
2023-01-03 06:12:00+00:00,-12.5,long,is,,3870.5,3870.25,1,2,100675.0,-0.3094442381482857
